Date,XRP Price,Monero Price,Bitcoin Price,Ethereum Price
01/01/2018,2.05,335.1,13444.9,752.46
02/01/2018,2.19,364.17,14754.1,858.78
03/01/2018,2.73,386,15156.6,942.01
04/01/2018,2.73,368.1,15180.1,940
05/01/2018,2.51,356.96,16954.8,962.77
06/01/2018,2.65,394,17172.3,1004.3
07/01/2018,2.78,400.25,16228.2,1115.8
08/01/2018,2.41,400.05,14976.2,1129.3
09/01/2018,2.1219,408.032,14778.5,1283.7
10/01/2018,1.999,403.437,15043,1248
11/01/2018,1.9473,351.15,13535.4,1135.5
12/01/2018,2.0224,387.236,13886.7,1257.2
13/01/2018,2.0401,413.9,14292.2,1380
14/01/2018,1.8843,393.641,13695.2,1350
15/01/2018,1.7076,413,13697.5,1273.4
16/01/2018,1.1985,308.562,11362,1020.1
17/01/2018,1.3407,315,11192.3,1017.5
18/01/2018,1.607,306.125,11245.4,994.81
19/01/2018,1.5715,361.498,11580.2,1032.6
20/01/2018,1.6015,383.99,12858.9,1146
21/01/2018,1.3946,343.734,11594.9,1047
22/01/2018,1.3724,314,10864.8,995.08
23/01/2018,1.3602,306.786,10903.2,982.98
24/01/2018,1.3816,318.6,11452.3,1063.2
25/01/2018,1.3086,315.613,11203,1048.2
26/01/2018,1.2136,324,11118.1,1047
27/01/2018,1.2214,325.935,11467.5,1114.8
28/01/2018,1.3632,332.992,11795.1,1246.6
29/01/2018,1.271,314,11244.8,1175
30/01/2018,1.1127,275.92,10166,1071.9
31/01/2018,1.1393,274.669,10265.4,1118.08
01/02/2018,0.9513,241.975,9181.1,1033.55
02/02/2018,0.8993,236.979,8893.2,920.85
03/02/2018,0.9598,252.691,9241.1,971.49
04/02/2018,0.818,219.866,8222.2,829.43
05/02/2018,0.6813,180.521,6938.5,696.86
06/02/2018,0.7618,209.201,7701.2,783.83
07/02/2018,0.7178,205.708,7594.7,753.18
08/02/2018,0.7821,247.974,8164.2,805.4
09/02/2018,0.9204,258.173,8699.8,877.85
10/02/2018,1.0289,247.067,8559.6,851.39
11/02/2018,0.9607,227.667,8081.9,810.45
12/02/2018,1.0427,247.338,8903.5,865.62
13/02/2018,0.9873,233.538,8539.2,841.38
14/02/2018,1.1287,274.202,9476.3,919.67
15/02/2018,1.1082,295.726,10037.3,927.56
16/02/2018,1.1136,293.115,10178.7,937.5
17/02/2018,1.1781,320.587,11073.5,971.54
18/02/2018,1.0705,295.34,10398.8,913.1
19/02/2018,1.1095,314.457,11169.4,940.08
20/02/2018,1.0274,301.965,11238.7,884.51
21/02/2018,0.9525,308.049,10473,839.1
22/02/2018,0.8914,274.875,9841.7,803.66
23/02/2018,0.9418,279.445,10170.4,856.65
24/02/2018,0.9022,268.534,9704.3,834.36
25/02/2018,0.9026,278.085,9585.2,840.88
26/02/2018,0.9294,291.174,10285.1,866.99
27/02/2018,0.9297,300.863,10594.4,871.44
28/02/2018,0.8869,286.104,10333.9,852.49
01/03/2018,0.9153,313.488,10904.5,870.04
02/03/2018,0.8994,343.372,10827.7,856.09
03/03/2018,0.8985,350.028,11402.3,855.91
04/03/2018,1.0043,368.224,11416.5,865.53
05/03/2018,0.9457,371.654,11330.6,850.24
06/03/2018,0.9035,343.374,10675.1,814.88
07/03/2018,0.8519,337.037,9902.9,749.98
08/03/2018,0.8064,276.113,9300,698.96
09/03/2018,0.8246,285.55,9217,725.89
10/03/2018,0.7755,254.735,8762,682.52
11/03/2018,0.8165,280.315,9529.6,720.12
12/03/2018,0.7832,257.908,9137.4,697.04
13/03/2018,0.7783,247.524,9154.9,689.57
14/03/2018,0.6878,215.432,8210.6,612.09
15/03/2018,0.6847,212.317,8264.4,610.13
16/03/2018,0.6787,215.918,8289.2,600.79
17/03/2018,0.6295,197.449,7874.9,550.27
18/03/2018,0.6504,209.793,8201.2,536.72
19/03/2018,0.7216,217.987,8616.8,556.16
20/03/2018,0.7003,223.747,8912.6,557.08
21/03/2018,0.6803,218.331,8905.9,560.24
22/03/2018,0.6544,212.585,8726.2,539.87
23/03/2018,0.6404,215.958,8916.8,543.42
24/03/2018,0.6291,208.363,8547.4,520.45
25/03/2018,0.6347,212.284,8473.2,523.5
26/03/2018,0.5884,196.913,8143.5,485.98
27/03/2018,0.5701,188.121,7801.7,448.48
28/03/2018,0.5735,199.479,7954.9,446.84
29/03/2018,0.503,176.856,7129.2,384.12
30/03/2018,0.4992,172.763,6853.7,393.79
31/03/2018,0.5009,180.729,6938.2,393.96
01/04/2018,0.4787,176.558,6825.2,378.75
02/04/2018,0.4937,178.642,7068.4,385.07
03/04/2018,0.5475,189.693,7424.2,415.55
04/04/2018,0.4912,170.895,6808.9,378.68
05/04/2018,0.4893,173.458,6782,381.52
06/04/2018,0.4739,163.256,6624.3,369.97
07/04/2018,0.4856,171.251,6905.7,384.87
08/04/2018,0.4984,175.764,7030.5,400.71
09/04/2018,0.4867,167.865,6781.9,399.05
10/04/2018,0.4915,168.291,6854.8,415.45
11/04/2018,0.5402,170.175,6962.1,430.14
12/04/2018,0.6414,192.999,7926.6,494.03
13/04/2018,0.6407,189.402,7887.4,493.48
14/04/2018,0.6405,192.018,8004.4,502.52
15/04/2018,0.6937,201.727,8363.6,533.9
16/04/2018,0.6645,195.736,8070,511.82
17/04/2018,0.6553,196.873,7908.6,503.19
18/04/2018,0.7127,229.425,8178.4,525.66
19/04/2018,0.783,238.489,8290.8,567.49
20/04/2018,0.9243,273.023,8867,617.04
21/04/2018,0.8658,257.079,8923.1,605.59
22/04/2018,0.8629,270.389,8806.7,622.23
